categorie,sport,mode,intensite,code,met
Force,Musculation,generaliste,,,3.5
Endurance,Course à pied,generaliste,,,7.5
Endurance,Cyclisme,generaliste,,,7.0
Endurance,Natation,generaliste,,,6.0
Endurance,Marche athlétique,generaliste,,,6.5
Endurance,Athlétisme,generaliste,,,6.0
Endurance,Course d'orientation,generaliste,,,9.0
Collectif,Football,generaliste,,,7.0
Collectif,Basketball,generaliste,,,7.5
Collectif,Volleyball,generaliste,,,4.0
Collectif,Beach-volley,generaliste,,,8.0
Collectif,Handball,generaliste,,,8.0
Collectif,Rugby,generaliste,,,7.3
Collectif,Tennis,generaliste,,,6.8
Collectif,Padel,generaliste,,,6.8
Collectif,Badminton,generaliste,,,5.5
Collectif,Squash,generaliste,,,7.3
Collectif,Racquetball,generaliste,,,7.0
Collectif,Hockey sur gazon,generaliste,,,7.8
Collectif,Hockey sur glace,generaliste,,,8.0
Collectif,Futsal,generaliste,,,7.8
Collectif,Netball,generaliste,,,7.0
Collectif,Lacrosse,generaliste,,,8.0
Collectif,Cricket,generaliste,,,4.8
Collectif,Baseball/softball,generaliste,,,5.0
Collectif,Floorball,generaliste,,,10.5
Collectif,Ultimate frisbee,generaliste,,,8.0
Collectif,Water-polo,generaliste,,,10.0
Combat,Boxe,generaliste,,,7.0
Combat,Kickboxing,generaliste,,,7.3
Combat,Karaté,generaliste,,,7.8
Combat,Taekwondo,generaliste,,,7.8
Combat,Judo,generaliste,,,8.0
Combat,Lutte,generaliste,,,8.0
Combat,MMA,generaliste,,,8.0
Combat,Kung-fu,generaliste,,,7.8
Combat,Kendo,generaliste,,,6.5
Combat,Escrime,generaliste,,,6.0
Physique,CrossFit/HIIT/circuit training,generaliste,,,7.0
Physique,Calisthénie,generaliste,,,3.8
Nautique,Aviron,generaliste,,,5.8
Nautique,Kayak/Canoë,generaliste,,,5.0
Nautique,Stand-up paddle,generaliste,,,6.5
Nautique,Surf,generaliste,,,3.0
Nautique,Plongée,generaliste,,,7.0
Nautique,Voile,generaliste,,,3.0
Nautique,Windsurf/kitesurf,generaliste,,,5.0
Nautique,Ski nautique/wakeboard,generaliste,,,6.0
Hiver,Ski alpin,generaliste,,,6.3
Hiver,Ski de fond,generaliste,,,8.5
Hiver,Snowboard,generaliste,,,7.5
Hiver,Patinage sur glace,generaliste,,,7.0
Hiver,Raquettes,generaliste,,,5.3
Autre,Yoga,generaliste,,,2.3
Autre,Pilates,generaliste,,,2.8
Autre,Danse,generaliste,,,5.0
